participant,condition,pumps_sum,pumps_mean,explosion_sum,session,block,pE,mNOP,NOE,TR,PB,pC_s,C
0,drunk,226,7.533333333333333,19,1,3,0.084070796460177,2.506399257909926,1.0790094263260366,-0.7597871280416792,-1.2209589431019952,-1.0790094263260368,11
0,drunk,138,4.6,17,1,1,0.12318840579710146,0.44053270953088414,0.6638086494499846,-0.5095197684404029,0.0,-0.6638086494499847,13
0,drunk,151,5.033333333333333,23,1,2,0.152317880794702,0.7457175405414246,1.9094109800781407,0.5346992147235438,1.2209589431019952,-1.9094109800781416,7
0,sober,261,8.7,19,3,2,0.07279693486590039,3.328050726015226,1.0790094263260366,0.5231926694545198,-1.2209589431019952,-1.0790094263260368,11
0,sober,150,5.0,22,3,1,0.14666666666666667,0.7222417843098446,1.7018105916401147,-0.6965011290620459,0.0,-1.7018105916401147,8
0,sober,119,3.966666666666667,28,3,3,0.23529411764705882,-0.005506658869135849,2.947412922268271,-4.162847891355589,1.2209589431019952,-2.9474129222682715,2
0,tipsy,148,4.933333333333334,20,2,1,0.13513513513513514,0.6752902718466848,1.2866098147640628,-0.9697815792013711,-1.2209589431019952,-1.2866098147640628,10
0,tipsy,87,2.9,16,2,2,0.1839080459770115,-0.7567308582796965,0.4562082610119586,-1.6112714779494708,0.0,-0.45620826101195877,14
0,tipsy,125,4.166666666666667,21,2,3,0.168,0.13534787852034438,1.4942102032020887,2.1772585518767498,1.2209589431019952,-1.4942102032020887,9
1,drunk,111,3.7,7,3,1,0.06306306306306306,-0.19331270872177594,-1.4121952349302755,0.2988150367085484,-1.2209589431019952,1.4121952349302753,23
1,drunk,84,2.8,11,3,3,0.13095238095238096,-0.8271581269744367,-0.5817936811781715,-0.5382861316129633,0.0,0.5817936811781713,19
1,drunk,75,2.5,11,3,2,0.14666666666666667,-1.0384399330586567,-0.5817936811781715,0.24128231036342654,1.2209589431019952,0.5817936811781713,19
1,sober,190,6.333333333333333,11,1,1,0.05789473684210526,1.661272033573045,-0.5817936811781715,1.0381105702433528,-1.2209589431019952,0.5817936811781713,19
1,sober,113,3.7666666666666666,11,1,2,0.09734513274336283,-0.14636119625861607,-0.5817936811781715,0.46565994310939895,0.0,0.5817936811781713,19
1,sober,73,2.433333333333333,15,1,3,0.2054794520547945,-1.085391445521817,0.24860787257393258,-0.5929422216408282,1.2209589431019952,-0.24860787257393274,15
1,tipsy,111,3.7,10,2,3,0.09009009009009009,-0.19331270872177594,-0.7893940696161975,-0.5469160405647313,-1.2209589431019952,0.789394069616198,20
1,tipsy,87,2.9,17,2,1,0.19540229885057472,-0.7567308582796965,0.6638086494499846,-1.6716808406118477,0.0,-0.6638086494499847,13
1,tipsy,88,2.933333333333333,13,2,2,0.14772727272727273,-0.7332551020481166,-0.16659290430211945,0.24415894668068305,1.2209589431019952,0.16659290430211926,17
2,drunk,90,3.0,6,2,3,0.06666666666666667,-0.6863035895849564,-1.6197956233683015,-0.4347272241917451,-1.2209589431019952,1.619795623368302,24
2,drunk,123,4.1,20,2,1,0.16260162601626016,0.08839636605718389,1.2866098147640628,-2.779185822755428,0.0,-1.2866098147640628,10
2,drunk,55,1.8333333333333333,3,2,2,0.05454545454545454,-1.5079550576902572,-2.2425967886823797,0.3074449456603159,1.2209589431019952,2.24259678868238,27
2,sober,79,2.6333333333333333,5,3,1,0.06329113924050633,-0.9445369081323367,-1.8273960118063277,-0.5670524947855238,-1.2209589431019952,1.827396011806328,25
2,sober,124,4.133333333333334,14,3,2,0.11290322580645161,0.11187212228876445,0.041007484135906554,0.7159273027106757,0.0,-0.04100748413590675,16
2,sober,40,1.3333333333333333,5,3,3,0.125,-1.8600914011639575,-1.8273960118063277,-0.8547161265111289,1.2209589431019952,1.827396011806328,25
2,tipsy,130,4.333333333333333,11,1,1,0.08461538461538462,0.25272665967824404,-0.5817936811781715,0.24128231036342654,-1.2209589431019952,0.5817936811781713,19
2,tipsy,115,3.8333333333333335,20,1,2,0.17391304347826086,-0.0994096837954559,1.2866098147640628,-1.9852341991927573,0.0,-1.2866098147640628,10
2,tipsy,37,1.2333333333333334,3,1,3,0.08108108108108109,-1.9305186698586974,-2.2425967886823797,-0.37144122521211226,1.2209589431019952,2.24259678868238,27
3,drunk,159,5.3,14,2,2,0.0880503144654088,0.9335235903940646,0.041007484135906554,-0.031998139775898195,-1.2209589431019952,-0.04100748413590675,16
3,drunk,113,3.7666666666666666,20,2,3,0.17699115044247787,-0.14636119625861607,1.2866098147640628,-1.228678847754416,0.0,-1.2866098147640628,10
3,drunk,107,3.566666666666667,17,2,1,0.1588785046728972,-0.287215733648096,0.6638086494499846,-0.014738321872361742,1.2209589431019952,-0.6638086494499847,13
3,sober,145,4.833333333333333,11,3,1,0.07586206896551724,0.6048630031519443,-0.5817936811781715,0.10320376713513643,-1.2209589431019952,0.5817936811781713,19
3,sober,111,3.7,10,3,2,0.09009009009009009,-0.19331270872177594,-0.7893940696161975,0.5318225784062882,0.0,0.789394069616198,20
3,sober,99,3.3,13,3,3,0.13131313131313133,-0.4750217835007364,-0.16659290430211945,1.1013965692229868,1.2209589431019952,0.16659290430211926,17
3,tipsy,152,5.066666666666666,13,1,3,0.08552631578947369,0.7691932967730045,-0.16659290430211945,-0.023368230824129713,-1.2209589431019952,0.16659290430211926,17
3,tipsy,107,3.566666666666667,10,1,1,0.09345794392523364,-0.287215733648096,-0.7893940696161975,0.6785310305863463,0.0,0.789394069616198,20
3,tipsy,75,2.5,8,1,2,0.10666666666666667,-1.0384399330586567,-1.2045948464922496,0.5030562152337273,1.2209589431019952,1.20459484649225,22
4,drunk,124,4.133333333333334,13,2,2,0.10483870967741936,0.11187212228876445,-0.16659290430211945,-0.6619814932549735,-1.2209589431019952,0.16659290430211926,17
4,drunk,139,4.633333333333334,11,2,3,0.07913669064748201,0.46400846576246474,-0.5817936811781715,1.1186563871265227,0.0,0.5817936811781713,19
4,drunk,90,3.0,11,2,1,0.12222222222222222,-0.6863035895849564,-0.5817936811781715,0.7590768474695161,1.2209589431019952,0.5817936811781713,19
4,sober,138,4.6,15,1,1,0.10869565217391304,0.44053270953088414,0.24860787257393258,-0.5382861316129633,-1.2209589431019952,-0.24860787257393274,15
4,sober,100,3.3333333333333335,12,1,3,0.12,-0.45154602726915616,-0.37419329274014546,-0.40883749733644065,0.0,0.3741932927401453,18
4,sober,69,2.3,12,1,2,0.17391304347826086,-1.179294470448137,-0.37419329274014546,-0.7396506738208868,1.2209589431019952,0.3741932927401453,18
4,tipsy,146,4.866666666666666,11,3,2,0.07534246575342465,0.6283387593835242,-0.5817936811781715,0.5778487594823851,-1.2209589431019952,0.5817936811781713,19
4,tipsy,74,2.466666666666667,9,3,3,0.12162162162162163,-1.0619156892902366,-0.9969944580542235,-0.38870104311564874,0.0,0.9969944580542233,21
4,tipsy,100,3.3333333333333335,14,3,1,0.14,-0.45154602726915616,0.041007484135906554,0.9115385722840872,1.2209589431019952,-0.04100748413590675,16
5,drunk,81,2.7,5,1,2,0.06172839506172839,-0.8975853956691765,-1.8273960118063277,-0.01761495818961773,-1.2209589431019952,1.827396011806328,25
5,drunk,118,3.933333333333333,11,1,1,0.09322033898305085,-0.028982415100716096,-0.5817936811781715,0.46278330679214247,0.0,0.5817936811781713,19
5,drunk,60,2.0,8,1,3,0.13333333333333333,-1.390576276532357,-1.2045948464922496,-0.31966177150150343,1.2209589431019952,1.20459484649225,22
5,sober,84,2.8,7,2,2,0.08333333333333333,-0.8271581269744367,-1.4121952349302755,-0.38582440679839225,-1.2209589431019952,1.4121952349302753,23
5,sober,70,2.3333333333333335,8,2,1,0.11428571428571428,-1.1558187142165568,-1.2045948464922496,-0.2822654993771745,0.0,1.20459484649225,22
5,sober,61,2.033333333333333,6,2,3,0.09836065573770492,-1.3671005203007771,-1.6197956233683015,0.3218281272465963,1.2209589431019952,1.619795623368302,24
5,tipsy,151,5.033333333333333,7,3,2,0.046357615894039736,0.7457175405414246,-1.4121952349302755,1.0237273886570735,-1.2209589431019952,1.4121952349302753,23
5,tipsy,102,3.4,10,3,1,0.09803921568627451,-0.4045945148059963,-0.7893940696161975,0.38223748990897366,0.0,0.789394069616198,20
5,tipsy,92,3.066666666666667,14,3,3,0.15217391304347827,-0.6393520771217963,0.041007484135906554,0.17799631138379374,1.2209589431019952,-0.04100748413590675,16
6,drunk,155,5.166666666666667,15,3,3,0.0967741935483871,0.8396205654677449,0.24860787257393258,-0.4491104057780256,-1.2209589431019952,-0.24860787257393274,15
6,drunk,155,5.166666666666667,13,3,2,0.08387096774193549,0.8396205654677449,-0.16659290430211945,1.5961780157910275,0.0,0.16659290430211926,17
6,drunk,113,3.7666666666666666,18,3,1,0.1592920353982301,-0.14636119625861607,0.8714090378880106,0.43114030730232605,1.2209589431019952,-0.8714090378880107,12
6,sober,190,6.333333333333333,13,2,3,0.06842105263157895,1.661272033573045,-0.16659290430211945,0.6957908484898834,-1.2209589431019952,0.16659290430211926,17
6,sober,135,4.5,13,2,2,0.0962962962962963,0.37010544083614433,-0.16659290430211945,0.6325048495102505,0.0,0.16659290430211926,17
6,sober,116,3.8666666666666667,17,2,1,0.14655172413793102,-0.07593392756387596,0.6638086494499846,0.9604413896774396,1.2209589431019952,-0.6638086494499847,13
6,tipsy,194,6.466666666666667,15,1,2,0.07731958762886598,1.7551750584993655,0.24860787257393258,0.4829197610129349,-1.2209589431019952,-0.24860787257393274,15
6,tipsy,132,4.4,20,1,3,0.15151515151515152,0.2996781721414046,1.2866098147640628,-1.1107367587469177,0.0,-1.2866098147640628,10
6,tipsy,142,4.733333333333333,17,1,1,0.11971830985915492,0.5344357344572045,0.6638086494499846,1.7946659216816954,1.2209589431019952,-0.6638086494499847,13
7,drunk,178,5.933333333333334,19,1,1,0.10674157303370786,1.3795629587940852,1.0790094263260366,-0.4376038605090016,-1.2209589431019952,-1.0790094263260368,11
7,drunk,124,4.133333333333334,21,1,2,0.1693548387096774,0.11187212228876445,1.4942102032020887,-1.2459386656579519,0.0,-1.4942102032020887,9
7,drunk,111,3.7,20,1,3,0.18018018018018017,-0.19331270872177594,1.2866098147640628,0.014028041300198678,1.2209589431019952,-1.2866098147640628,10
7,sober,147,4.9,19,3,1,0.1292517006802721,0.6518145156151048,1.0790094263260366,-1.570998569507886,-1.2209589431019952,-1.0790094263260368,11
7,sober,104,3.466666666666667,15,3,2,0.14423076923076922,-0.35764300234283614,0.24860787257393258,-0.6245852211306445,0.0,-0.24860787257393274,15
7,sober,94,3.1333333333333333,19,3,3,0.20212765957446807,-0.5924005646586364,1.0790094263260366,-0.7252674922346068,1.2209589431019952,-1.0790094263260368,11
7,tipsy,204,6.8,17,2,2,0.08333333333333333,1.9899326208151655,0.6638086494499846,0.25854212826696354,-1.2209589431019952,-0.6638086494499847,13
7,tipsy,149,4.966666666666667,24,2,3,0.1610738255033557,0.6987660280782647,2.1170113685161667,-1.0503273960845405,0.0,-2.1170113685161676,6
7,tipsy,98,3.2666666666666666,21,2,1,0.21428571428571427,-0.49849753973231636,1.4942102032020887,-1.1510096671885022,1.2209589431019952,-1.4942102032020887,9
8,drunk,189,6.3,10,3,2,0.05291005291005291,1.6377962773414652,-0.7893940696161975,1.5674116526184674,-1.2209589431019952,0.789394069616198,20
8,drunk,148,4.933333333333334,18,3,1,0.12162162162162163,0.6752902718466848,0.8714090378880106,1.1186563871265227,0.0,-0.8714090378880107,12
8,drunk,92,3.066666666666667,16,3,3,0.17391304347826086,-0.6393520771217963,0.4562082610119586,0.23840567404617108,1.2209589431019952,-0.45620826101195877,14
8,sober,248,8.266666666666667,16,1,2,0.06451612903225806,3.0228658950046867,0.4562082610119586,2.6547801805412545,-1.2209589431019952,-0.45620826101195877,14
8,sober,180,6.0,16,1,1,0.08888888888888889,1.426514471257245,0.4562082610119586,1.9269911922754739,0.0,-0.45620826101195877,14
8,sober,94,3.1333333333333333,18,1,3,0.19148936170212766,-0.5924005646586364,0.8714090378880106,-0.6533515843032055,1.2209589431019952,-0.8714090378880107,12
8,tipsy,135,4.5,18,2,1,0.13333333333333333,0.37010544083614433,0.8714090378880106,-1.2459386656579519,-1.2209589431019952,-0.8714090378880107,12
8,tipsy,101,3.3666666666666667,17,2,2,0.16831683168316833,-0.4280702710375762,0.6638086494499846,-0.8690993080974094,0.0,-0.6638086494499847,13
8,tipsy,75,2.5,15,2,3,0.2,-1.0384399330586567,0.24860787257393258,-0.805813309117776,1.2209589431019952,-0.24860787257393274,15
9,drunk,139,4.633333333333334,12,3,3,0.08633093525179857,0.46400846576246474,-0.37419329274014546,-1.1625162124575266,-1.2209589431019952,0.3741932927401453,18
9,drunk,130,4.333333333333333,17,3,2,0.13076923076923078,0.25272665967824404,0.6638086494499846,0.4455234888886065,0.0,-0.6638086494499847,13
9,drunk,113,3.7666666666666666,19,3,1,0.168141592920354,-0.14636119625861607,1.0790094263260366,-0.049257957679434146,1.2209589431019952,-1.0790094263260368,11
9,sober,159,5.3,11,2,1,0.06918238993710692,0.9335235903940646,-0.5817936811781715,0.016904677617454667,-1.2209589431019952,0.5817936811781713,19
9,sober,132,4.4,12,2,2,0.09090909090909091,0.2996781721414046,-0.37419329274014546,0.9633180259946961,0.0,0.3741932927401453,18
9,sober,91,3.033333333333333,13,2,3,0.14285714285714285,-0.6628278333533765,-0.16659290430211945,0.4944263062819599,1.2209589431019952,0.16659290430211926,17
9,tipsy,112,3.7333333333333334,13,1,2,0.11607142857142858,-0.169836952490196,-0.16659290430211945,-1.0129311239602121,-1.2209589431019952,0.16659290430211926,17
9,tipsy,55,1.8333333333333333,11,1,3,0.2,-1.5079550576902572,-0.5817936811781715,-1.1711461214092946,0.0,0.5817936811781713,19
9,tipsy,102,3.4,11,1,1,0.10784313725490197,-0.4045945148059963,-0.5817936811781715,1.2308452034995088,1.2209589431019952,0.5817936811781713,19
10,drunk,120,4.0,14,3,3,0.11666666666666667,0.017969097362444085,0.041007484135906554,-0.8633460354628969,-1.2209589431019952,-0.04100748413590675,16
10,drunk,122,4.066666666666666,19,3,2,0.1557377049180328,0.06492060982560395,1.0790094263260366,-0.11542059297632347,0.0,-1.0790094263260368,11
10,drunk,118,3.933333333333333,19,3,1,0.16101694915254236,-0.028982415100716096,1.0790094263260366,-0.3656879525776003,1.2209589431019952,-1.0790094263260368,11
10,sober,159,5.3,14,2,3,0.0880503144654088,0.9335235903940646,0.041007484135906554,-0.0003551402860812767,-1.2209589431019952,-0.04100748413590675,16
10,sober,116,3.8666666666666667,20,2,2,0.1724137931034483,-0.07593392756387596,1.2866098147640628,-1.7234602943224566,0.0,-1.2866098147640628,10
10,sober,91,3.033333333333333,18,2,1,0.1978021978021978,-0.6628278333533765,0.8714090378880106,-0.19021313722498076,1.2209589431019952,-0.8714090378880107,12
10,tipsy,168,5.6,15,1,3,0.08928571428571429,1.1448053964782847,0.24860787257393258,-0.3311683167705274,-1.2209589431019952,-0.24860787257393274,15
10,tipsy,160,5.333333333333333,15,1,2,0.09375,0.9569993466256446,0.24860787257393258,1.5616583799839545,0.0,-0.24860787257393274,15
10,tipsy,92,3.066666666666667,17,1,1,0.18478260869565216,-0.6393520771217963,0.6638086494499846,-0.647598311668693,1.2209589431019952,-0.6638086494499847,13
11,drunk,155,5.166666666666667,9,1,1,0.05806451612903226,0.8396205654677449,-0.9969944580542235,0.5778487594823851,-1.2209589431019952,0.9969944580542233,21
11,drunk,108,3.6,15,1,3,0.1388888888888889,-0.26373997741651606,0.24860787257393258,-0.6015721305925962,0.0,-0.24860787257393274,15
11,drunk,80,2.6666666666666665,11,1,2,0.1375,-0.9210611519007568,-0.5817936811781715,0.39374403517799766,1.2209589431019952,0.5817936811781713,19
11,sober,131,4.366666666666666,10,2,2,0.07633587786259542,0.276202415909824,-0.7893940696161975,0.20676267455635466,-1.2209589431019952,0.789394069616198,20
11,sober,88,2.933333333333333,13,2,3,0.14772727272727273,-0.7332551020481166,-0.16659290430211945,-0.7051310380138144,0.0,0.16659290430211926,17
11,sober,98,3.2666666666666666,13,2,1,0.1326530612244898,-0.49849753973231636,-0.16659290430211945,0.36210103568818125,1.2209589431019952,0.16659290430211926,17
11,tipsy,137,4.566666666666666,11,3,3,0.08029197080291971,0.4170569532993042,-0.5817936811781715,0.2268991287771471,-1.2209589431019952,0.5817936811781713,19
11,tipsy,100,3.3333333333333335,11,3,1,0.11,-0.45154602726915616,-0.5817936811781715,0.080190676597088,0.0,0.5817936811781713,19
11,tipsy,86,2.8666666666666667,12,3,2,0.13953488372093023,-0.7802066145112765,-0.37419329274014546,0.7331871206142118,1.2209589431019952,0.3741932927401453,18
12,drunk,169,5.633333333333334,12,2,1,0.07100591715976332,1.1682811527098653,-0.37419329274014546,0.3707309446399497,-1.2209589431019952,0.3741932927401453,18
12,drunk,96,3.2,13,2,3,0.13541666666666666,-0.5454490521954762,-0.16659290430211945,-0.5239029500266829,0.0,0.16659290430211926,17
12,drunk,88,2.933333333333333,17,2,2,0.19318181818181818,-0.7332551020481166,0.6638086494499846,-0.3599346799430878,1.2209589431019952,-0.6638086494499847,13
12,sober,113,3.7666666666666666,9,3,2,0.07964601769911504,-0.14636119625861607,-0.9969944580542235,0.27580194617049947,-1.2209589431019952,0.9969944580542233,21
12,sober,100,3.3333333333333335,10,3,3,0.1,-0.45154602726915616,-0.7893940696161975,0.29593840039129193,0.0,0.789394069616198,20
12,sober,79,2.6333333333333333,14,3,1,0.17721518987341772,-0.9445369081323367,0.041007484135906554,-0.4836300415850985,1.2209589431019952,-0.04100748413590675,16
12,tipsy,166,5.533333333333333,17,1,1,0.10240963855421686,1.0978538840151248,0.6638086494499846,-0.2534991362046141,-1.2209589431019952,-0.6638086494499847,13
12,tipsy,97,3.2333333333333334,12,1,3,0.12371134020618557,-0.5219732959638963,-0.37419329274014546,-0.8317030359730805,0.0,0.3741932927401453,18
12,tipsy,76,2.533333333333333,11,1,2,0.14473684210526316,-1.0149641768270767,-0.5817936811781715,-0.006108412920593769,1.2209589431019952,0.5817936811781713,19
13,drunk,125,4.166666666666667,11,2,2,0.088,0.13534787852034438,-0.5817936811781715,0.08594394923159998,-1.2209589431019952,0.5817936811781713,19
13,drunk,108,3.6,11,2,3,0.10185185185185185,-0.26373997741651606,-0.5817936811781715,0.261418764584219,0.0,0.5817936811781713,19
13,drunk,111,3.7,15,2,1,0.13513513513513514,-0.19331270872177594,0.24860787257393258,-0.020491594506873722,1.2209589431019952,-0.24860787257393274,15
13,sober,118,3.933333333333333,15,1,2,0.1271186440677966,-0.028982415100716096,0.24860787257393258,-1.2890882104167927,-1.2209589431019952,-0.24860787257393274,15
13,sober,132,4.4,13,1,1,0.09848484848484848,0.2996781721414046,-0.16659290430211945,0.38799076254348563,0.0,0.16659290430211926,17
13,sober,80,2.6666666666666665,13,1,3,0.1625,-0.9210611519007568,-0.16659290430211945,0.016904677617454667,1.2209589431019952,0.16659290430211926,17
13,tipsy,154,5.133333333333334,8,3,2,0.05194805194805195,0.816144809236165,-1.2045948464922496,1.1474227502990837,-1.2209589431019952,1.20459484649225,22
13,tipsy,116,3.8666666666666667,11,3,3,0.09482758620689655,-0.07593392756387596,-0.5817936811781715,0.4742898520611674,0.0,0.5817936811781713,19
13,tipsy,94,3.1333333333333333,12,3,1,0.1276595744680851,-0.5924005646586364,-0.37419329274014546,0.28155521880501144,1.2209589431019952,0.3741932927401453,18
14,drunk,165,5.5,9,3,3,0.05454545454545454,1.074378127783545,-0.9969944580542235,0.8223628464491489,-1.2209589431019952,0.9969944580542233,21
14,drunk,98,3.2666666666666666,10,3,1,0.10204081632653061,-0.49849753973231636,-0.7893940696161975,0.3333346725156203,0.0,0.789394069616198,20
14,drunk,81,2.7,12,3,2,0.14814814814814814,-0.8975853956691765,-0.37419329274014546,0.3045683093430604,1.2209589431019952,0.3741932927401453,18
14,sober,51,1.7,6,1,3,0.11764705882352941,-1.601858082616577,-1.6197956233683015,-0.7137609469655823,-1.2209589431019952,1.619795623368302,24
14,sober,77,2.566666666666667,11,1,2,0.14285714285714285,-0.9914884205954966,-0.5817936811781715,-0.8000600364832641,0.0,0.5817936811781713,19
14,sober,102,3.4,9,1,1,0.08823529411764706,-0.4045945148059963,-0.9969944580542235,2.318213731422297,1.2209589431019952,0.9969944580542233,21
14,tipsy,155,5.166666666666667,13,2,3,0.08387096774193549,0.8396205654677449,-0.16659290430211945,0.080190676597088,-1.2209589431019952,0.16659290430211926,17
14,tipsy,78,2.6,13,2,1,0.16666666666666666,-0.9680126643639166,-0.16659290430211945,-0.7626637643589352,0.0,0.16659290430211926,17
14,tipsy,82,2.7333333333333334,12,2,2,0.14634146341463414,-0.8741096394375966,-0.37419329274014546,0.14347667557672134,1.2209589431019952,0.3741932927401453,18
15,drunk,262,8.733333333333333,24,2,3,0.0916030534351145,3.351526482246806,2.1170113685161667,0.7159273027106757,-1.2209589431019952,-2.1170113685161676,6
15,drunk,222,7.4,25,2,2,0.11261261261261261,2.412496232983606,2.3246117569541926,3.1610681723783203,0.0,-2.3246117569541935,5
15,drunk,123,4.1,21,2,1,0.17073170731707318,0.08839636605718389,1.4942102032020887,0.04854767710727159,1.2209589431019952,-1.4942102032020887,9
15,sober,173,5.766666666666667,18,1,3,0.10404624277456648,1.262184177636185,0.8714090378880106,-0.6619814932549735,-1.2209589431019952,-0.8714090378880107,12
15,sober,138,4.6,19,1,2,0.13768115942028986,0.44053270953088414,1.0790094263260366,-0.5095197684404029,0.0,-1.0790094263260368,11
15,sober,88,2.933333333333333,18,1,1,0.20454545454545456,-0.7332551020481166,0.8714090378880106,-0.644721675351437,1.2209589431019952,-0.8714090378880107,12
15,tipsy,271,9.033333333333333,22,3,3,0.08118081180811808,3.5628082883310266,1.7018105916401147,2.8532680864319224,-1.2209589431019952,-1.7018105916401147,8
15,tipsy,187,6.233333333333333,27,3,1,0.1443850267379679,1.5908447648783053,2.739812533830245,-2.336183829897996,0.0,-2.7398125338302455,3
15,tipsy,147,4.9,27,3,2,0.1836734693877551,0.6518145156151048,2.739812533830245,2.2405445508563835,1.2209589431019952,-2.7398125338302455,3
16,drunk,149,4.966666666666667,17,1,2,0.11409395973154363,0.6987660280782647,0.6638086494499846,-1.015807760277468,-1.2209589431019952,-0.6638086494499847,13
16,drunk,81,2.7,11,1,3,0.13580246913580246,-0.8975853956691765,-0.5817936811781715,-0.676364674841254,0.0,0.5817936811781713,19
16,drunk,114,3.8,15,1,1,0.13157894736842105,-0.12288544002703615,0.24860787257393258,0.7590768474695161,1.2209589431019952,-0.24860787257393274,15
16,sober,140,4.666666666666667,15,3,1,0.10714285714285714,0.4874842219940447,0.24860787257393258,-0.7137609469655823,-1.2209589431019952,-0.24860787257393274,15
16,sober,117,3.9,12,3,3,0.10256410256410256,-0.05245817133229603,-0.37419329274014546,0.7274338479796998,0.0,0.3741932927401453,18
16,sober,108,3.6,11,3,2,0.10185185185185185,-0.26373997741651606,-0.5817936811781715,1.314267656699934,1.2209589431019952,0.5817936811781713,19
16,tipsy,129,4.3,13,2,2,0.10077519379844961,0.22925090344666413,-0.16659290430211945,-0.1729533193214448,-1.2209589431019952,0.16659290430211926,17
16,tipsy,115,3.8333333333333335,9,2,3,0.0782608695652174,-0.0994096837954559,-0.9969944580542235,1.4811125631007858,0.0,0.9969944580542233,21
16,tipsy,66,2.2,10,2,1,0.15151515151515152,-1.2497217391428768,-0.7893940696161975,-0.23336268198382165,1.2209589431019952,0.789394069616198,20
17,drunk,63,2.1,3,1,3,0.047619047619047616,-1.3201490078376168,-2.2425967886823797,-0.03487477609315419,-1.2209589431019952,2.24259678868238,27
